time,wheelspeed,airspeed,throttle,brake,gear_A,posx,posy,posz,gx,gy,gz,PlayMode,HasCrashed
0.008500000461936,0.26416693873782,0.072000779211521,0,0,0.4,-67.229972911249,-64.112682396868,118.17641844648,0.74317288398743,-1.7531201839447,0.12741705775261,0,0
0.018500001169741,0.15168811088093,0.07984222471714,0,0,0.4,-67.229864090314,-64.112662749675,118.17634580374,-2.6725194454193,0.65036284923553,-5.6975493431091,0,0
0.063000001944602,0.057901238380767,0.045772187411785,0,0,0.4,-67.229803165058,-64.112720169325,118.17633566393,0.19972670078278,1.2846091985703,-4.098265171051,0,0
0.11300000268966,0.013209765291288,0.46263906359673,0,0,0.4,-67.229830459389,-64.113186138825,118.16547646605,-0.29946887493134,0.42572939395905,-0.42396929860115,0,0
0.16300000343472,0.0048177949543728,1.0626353025436,0,0,0.4,-67.229826782215,-64.113686273613,118.12760301732,-0.17250511050224,1.2295173406601,2.0713934898376,0,0
0.21300000417978,0.0028230412379044,1.5472002029419,0,0,0.4,-67.229779393358,-64.114544438914,118.06072356377,-0.053706388920546,0.77145147323608,-0.47108754515648,0,0
0.26300000492483,0.0056295516612779,2.0850057601929,0,0,0.4,-67.229777691025,-64.11492981749,117.96910501004,-0.030918002128601,0.39800724387169,0.22168844938278,0,0
0.31300000566989,0.014301958603665,2.5878987312317,0,0,0.4,-67.22975630328,-64.114766880622,117.85229691083,-0.091717973351479,0.4639298915863,0.25847983360291,0,0
0.36300000641495,0.070365021768676,2.6633379459381,0,0,0.4,-67.229642725666,-64.113624147682,117.71908024233,-0.38908913731575,1.2375138998032,-8.5915241241455,0,0
0.41300000716001,0.036544199521166,2.5375335216522,0,0,0.4,-67.229361391873,-64.110726141938,117.58705246635,0.040886372327805,-4.5361142158508,-13.256129264832,0,0
0.46300000790507,0.12209622724,1.6436779499054,0,0,0.4,-67.229306584535,-64.096527355767,117.48278811888,0.074701488018036,-2.4503338336945,-26.804555892944,0,0
0.51300000865012,0.056413000524804,0.29642874002457,0,0,0.4,-67.229462097895,-64.081337568656,117.43910398601,0.16852371394634,0.63509917259216,-43.642539978027,0,0
0.56300000939518,0.15186286197436,1.5220640897751,0,0,0.4,-67.230156368407,-64.068460409209,117.48079406586,0.38880330324173,3.6952061653137,-37.805950164795,0,0
0.61300001014024,0.11413731071155,1.6738090515137,0,0,0.4,-67.231030815044,-64.0661100174,117.56484688394,-0.20786586403847,5.1869058609009,-13.203621864319,0,0
0.6630000108853,0.086355237689291,1.3115187883377,0,0,0.4,-67.231419150922,-64.071361721341,117.64042405144,-0.35398983955383,0.14272524416447,-3.4069612026215,0,0
0.71150001231581,0.028756701569653,0.81025665998459,0,0,0.4,-67.231514885306,-64.076406156772,117.69372406602,-0.048449821770191,0.080864503979683,0.051491178572178,0,0
0.75750001613051,0.053801316772921,0.29315334558487,0,0,0.4,-67.231674699253,-64.082077326013,117.71971503359,0.027870317921042,0.64265692234039,1.2177413702011,0,0
0.8010000186041,0.0057100348850368,0.12585484981537,0,0,0.4,-67.231769384011,-64.087822125839,117.72438533794,-0.137824639678,0.10575103014708,-3.4026374816895,0,0
0.84250002074987,0.0034983129513992,0.37765523791313,0,0,0.4,-67.232052251668,-64.092220530845,117.71513696444,0.24243454635143,-0.85262125730515,-2.4930171966553,0,0
0.88250002358109,0.0071711285437848,0.60048687458038,0,0,0.4,-67.23244094826,-64.094426465624,117.69531389122,-0.0053934762254357,-1.1742433309555,-3.6751048564911,0,0
0.92050002608448,0.010697382256126,0.70851999521255,0,0,0.4,-67.232806706904,-64.093332982215,117.66808032469,-0.17189526557922,-2.5185813903809,-7.2864365577698,0,0
0.95650002826005,0.035367208433389,0.6736888885498,0,0,0.4,-67.232865878806,-64.088574003785,117.64212623259,-0.12650811672211,-1.6040196418762,-10.276926994324,0,0
0.99100003112108,0.026969232695252,0.56080156564713,0,0,0.4,-67.232759868796,-64.083238075465,117.6206803844,-0.11725930869579,0.24370764195919,-12.188520431519,0,0
1.0240000309423,0.015957652488803,0.44311660528183,0,0,0.4,-67.232625602059,-64.080118903061,117.60366545591,0.093317195773125,1.8645416498184,-12.711459159851,0,0
1.0555000314489,0.0093321938559389,0.33583107590675,0,0,0.4,-67.232631884389,-64.080152899582,117.59086696389,0.02469141036272,2.570196390152,-13.047065734863,0,0
1.0860000336543,0.025676457740899,0.2620984017849,0,0,0.4,-67.232719203708,-64.082456875258,117.58168338779,0.077833861112595,1.7134432792664,-12.787474632263,0,0
1.1150000346825,0.023713944997649,0.18292529881001,0,0,0.4,-67.23288315864,-64.08530199885,117.57531597172,0.016638040542603,0.29109391570091,-12.778441429138,0,0
1.1425000363961,0.013608080646181,0.094506971538067,0,0,0.4,-67.232994242618,-64.087204763857,117.57162279405,-0.059645526111126,-0.99785208702087,-12.684952735901,0,0
1.1690000379458,0.00099085524110505,0.019032074138522,0,0,0.4,-67.233018692311,-64.087562845692,117.57047426442,-0.073858447372913,-1.7625056505203,-12.606247901917,0,0
1.1950000384822,0.01206554863555,0.084249049425125,0,0,0.4,-67.232963682882,-64.086501697173,117.57120606013,-0.1138902977109,-1.6134914159775,-12.370116233826,0,0
1.2200000388548,0.01969744213595,0.13023068010807,0,0,0.4,-67.232867681741,-64.084466234999,117.57326725524,-0.048791449517012,-1.2093510627747,-11.56253528595,0,0
1.2440000390634,0.017684489648789,0.14368310570717,0,0,0.4,-67.232777696658,-64.082231392764,117.57593798943,0.015403675846756,-0.25608682632446,-10.960480690002,0,0
1.2675000401214,0.011791735733843,0.14177590608597,0,0,0.4,-67.232723736204,-64.080541249308,117.57892098945,0.067822255194187,0.75301921367645,-10.611637115479,0,0
1.2900000410154,0.0016399637324563,0.13730707764626,0,0,0.4,-67.232729418175,-64.079800713427,117.58206974276,0.087872810661793,1.4880169630051,-10.248208045959,0,0
1.3120000427589,0.0083872060442327,0.14988873898983,0,0,0.4,-67.232774081759,-64.080150670334,117.58523755278,0.088811673223972,1.7810310125351,-10.183274269104,0,0
1.3330000443384,0.017172273585733,0.16174241900444,0,0,0.4,-67.232844387069,-64.081400306499,117.58846212682,0.091607481241226,1.6818956136703,-9.8672437667847,0,0
1.3540000459179,0.022210820670479,0.17637003958225,0,0,0.4,-67.232904173313,-64.083170211135,117.59152859848,-0.044626176357269,1.1988368034363,-10.038019180298,0,0
1.3740000473335,0.021567156337668,0.1678167283535,0,0,0.4,-67.232940010699,-64.085107486866,117.59459362102,-0.014350553043187,0.44809105992317,-9.6503000259399,0,0
1.3935000477359,0.016497049100542,0.16010592877865,0,0,0.4,-67.232938289642,-64.086777338725,117.59744917277,-0.073272608220577,-0.3143150806427,-9.7573337554932,0,0
1.4125000489876,0.010938403626668,0.14919365942478,0,0,0.4,-67.232893538774,-64.087977067997,117.60023275082,-0.092504426836967,-0.77465844154358,-9.7170906066895,0,0
1.431000049226,0.003081578298456,0.14179486036301,0,0,0.4,-67.232816483489,-64.088610882955,117.60289743108,-0.09044011682272,-1.1815893650055,-9.7768697738647,0,0
1.4490000503138,0.0026342166397537,0.14038603007793,0,0,0.4,-67.232718235859,-64.088692938787,117.60550877661,-0.057676456868649,-1.4256479740143,-9.7738361358643,0,0
1.4665000503883,0.0072602906855573,0.138184055686,0,0,0.4,-67.232612823146,-64.088301820771,117.60799170913,-0.037968870252371,-1.313268661499,-9.6227874755859,0,0
1.4835000513121,0.011816043985924,0.13797655701637,0,0,0.4,-67.232519037195,-64.087565562975,117.61028585093,0.0019929530099034,-1.145458817482,-9.5652074813843,0,0
1.5000000512227,0.013455387315683,0.13189540803432,0,0,0.4,-67.232447120936,-64.086623091956,117.61237935459,0.058356858789921,-0.85026270151138,-9.3730411529541,0,0
1.5165000511333,0.013998656724788,0.12160223722458,0,0,0.4,-67.23241325978,-64.085637896293,117.61421849312,0.077150218188763,-0.40012991428375,-9.2704620361328,0,0
1.5320000518113,0.011964534356162,0.10894796252251,0,0,0.4,-67.232411753116,-64.084728583735,117.61589266678,0.11634316295385,0.056971900165081,-9.244457244873,0,0
1.5475000524893,0.008777552465613,0.094399079680443,0,0,0.4,-67.232444305365,-64.084056652215,117.61732151902,0.13029479980469,0.42190051078796,-9.1978378295898,0,0
1.5630000531673,0.0041787156283735,0.079376250505447,0,0,0.4,-67.232506441773,-64.083637385595,117.61859026586,0.14129616320133,0.78713947534561,-9.1858768463135,0,0
1.5780000537634,0.0013493596738982,0.067044451832771,0,0,0.4,-67.23258494773,-64.083525101663,117.61971819129,0.088062353432178,1.0008044242859,-9.1398410797119,0,0
1.5930000543594,0.0047927716009968,0.067615166306496,0,0,0.4,-67.232674653551,-64.083730391385,117.62070501272,0.058422055095434,1.1297671794891,-9.3256692886353,0,0
1.6075000548735,0.0089317723074941,0.070645079016685,0,0,0.4,-67.232759441578,-64.084202406544,117.62163230142,0.029137192294002,1.066410779953,-9.4052276611328,0,0
1.6220000553876,0.010875473499427,0.075229965150356,0,0,0.4,-67.232831075615,-64.084861425305,117.62244262374,-0.028302848339081,0.97186309099197,-9.4846153259277,0,0
1.6365000559017,0.012369503647922,0.07459782063961,0,0,0.4,-67.232883999229,-64.085634514713,117.62319616639,-0.057900331914425,0.66481512784958,-9.4903087615967,0,0
1.6505000563338,0.010721672281912,0.069340907037258,0,0,0.4,-67.232914535371,-64.086435852683,117.62386476852,-0.075891330838203,0.32880184054375,-9.4370040893555,0,0
